user_name,rating,user_base,review,date_of_experience,date_written,photos,party
LW8415,2,"Athens, OH","This was the only site in the city that didn't meet or exceed my expectations. This has a sketchy crowd around it, the water is dyed a strange blue color, and the love statue is way smaller than expected.",Jul-15,25-Jul-15,0,Couples
Bstraiton,3,"Philadelphia, PA","Love park is not much more than a big concrete square with a cool iconic Philadelphia statue to take a touristy photo. This is a good pit stop to find gourmet lunch trucks during the week. Don't plan on a lot of time here, but it is an easy stop when visiting some other close by attractions: City Hall, Comcast Building, etc.",Sep-14,24-Jul-15,0,Family
Martha B,3,,"A must place for a photo op, However, the Park is packed with homeless people, One insisted taking our picture under the Love statue with my iPhone. I was a little uncomfortable handing over my phone to a stranger but it turned out okay. He was very nice and did not beg but did say tips were appreciated.",Jul-15,23-Jul-15,0,Friends
Archie,4,"Glenmoore, PA","It's a must visit for the perfect picture moment in the city. There are people in queue and also people who are willing to take a photo for you. After the visit take a dip in the fountain behind. It's so much fun and I am sure not many cities allow it.
",Jul-15,18-Jul-15,1,Family
Keith R,3,Hopkinton MA,"I guess we just though this would be more ... just more! The statue is small and located in a park that locals say is in line for a long-overdue renovation. People hanging around the park taking photographs (and asking for tips) were aggressive and made the whole experience uncomfortable. The sculpture itself is smaller than you'd expect and while still iconic, seems a bit whimsical in a city where The Thinker and other Rodin masterpieces can also be seen for free.",Jul-15,18-Jul-15,0,Couples
Marsha F,1,"Omaha, NE","Dirty, Dirty, Filthy! Nothing here was pretty, clean or an attraction! Landscaping was nonexistent! trash everywhere....spent about 5 minutes there!",Jun-15,15-Jul-15,0,
Kime H,5,"New York City, NY","A couple people I asked said that Love Park was nothing special, but I absolutely adored it! People were polite and lined up in an orderly fashion to take pictures in front of the sign, people of all ages enjoyed wading in the gorgeous fountain behind it, and it was overall just a lovely stop in Philadelphia. A must-see if you're just walking around the city.",Aug-15,21-Aug-15,1,
Deihlcrew,4,,We were able to get a great photo at the LOVE statue and had a bit of splash time in the fountain. Nice to take a few moments and enjoy a beautiful day in the city of brotherly love.,Aug-15,18-Aug-15,0,
cc_maam,4,"Winter Haven, FL","While actually being the John F Kennedy Plaza it has been nicknamed ""Love Park"" due to the famous LOVE STATUE designed by Robert Indiana. I have to wonder just how many lovebirds have had their pic snapped by that statue??

Interestingly enough the park was designed by Kevin Bacon's father, City Planner Edmond Bacon to cover an underground parking site (1965) and later in 1969 the fabulous fountain was added.",Jul-15,15-Aug-15,0,Friends
MeraKi25,4,"Philadelphia, PA",Love park is an iconic spot to take a photo... There are always a ton of people here. The love statue isn't as large as some imagine it to be though. Very close to city hall.,Aug-15,14-Aug-15,2,Couples
foxy86_love,4,montreal,"We first went to the Love park around noon, but there was a line-up, therefore we left and went to visit other areas of the city. We came back later in the evening and there was much less people and we were then able to take pictures.
It's a nice little park during the day, but the crowd it different at night.",Aug-15,12-Aug-15,2,Friends
BigRobUTSA,4,"Odessa, TX","Near the Convention Center we parked in a garage and walked a few blocks to get a pic of this iconic sign. Much smaller than the one in NYC, but a great pic nonetheless. Next block over there are photo ops with giant Monopoly Pieces (Iron and Hat) and game pieces (Sorry) and it's in eyeshot of the Reading Railroad. Pretty cool to see.",Aug-15,10-Aug-15,0,Family
Netty904,3,NYC,I thought there would be more to this park than a sculpture and a fountain. The sculpture is just like one across the street from my husband's job so I wasn't going to stand in line to take a picture in front of it but the fountain was cool. It was much higher than most other fountains and the pool was huge. There were children actually swimming in it.,Aug-15,09-Aug-15,0,
maristredfox,5,"Stamford, CT","Very cool attraction in downtown Philadelphia. Yeah, it's a touristy thing to do, but it's still cool.",Aug-15,06-Aug-15,0,
tshep42,3,"Halifax, Canada","The statute itself is a whole lot smaller than I thought it was going to be. The ripoff of it in NYC is much larger and sits on the ground. This one is on a stand about 6' off the ground. Mind you, the background for this LOVE statute is much nicer with the fountain behind it. The water was coloured a vibrant blue when we were there.

The small park it is in is a bit sketchy with some troublesome looking folks hanging out. So go during the day. It is a busy tourist area so I was a bit surprised the city doesn't have more of a police presence here.

Great selfie and photo opportunity, although you do have to line up for a selfie. There is some entertainment there as well - there were two silver Cowboys standing perfectly still until someone approached.",Aug-15,05-Aug-15,2,Couples
Richard S,1,"Scottsdale, AZ",This is a terrible place in our opinion. In the day time is if terrible and at night I can not imagine how worse it is. Love park and PC fountain of urban mush.,Jul-15,03-Aug-15,0,Couples
stellina1936,3,"Long Island, NY","Much smaller than I envisioned. Lots of skateboarders and a few homeless people when we visited. We basically didn't linger, took a few photos and continued on our way. Could definitely use some sprucing up.",Aug-15,17-Sep-15,0,Couples
Gautam G,5,"Philadelphia, PA",Beautiful statue. Great place to visit. Sometimes there is a themed festival in the area. Makes for a great picture!,Sep-15,17-Sep-15,0,Friends
NehaAgrawal17,5,"Indore, India","We enjoyed splashing in the pond the most at this place! There is shallow pond in which children were actually swimming. We definitely did not swim but used this chance to roll up our pants and get into the water. It was indeed relaxing on a hot day! Coming to the main highlight of this area - the 'LOVE' sign, is a photo op. And we had to stand in a queue to wait for our chance to take a picture with the sign, which is fine because that's the best way everyone can get a chance to click a good picture with the famous sign. Don't miss the picture name board on the state building adjacent to this place. A good and enjoyable half hour was spent here!",Sep-15,14-Sep-15,0,
B T,5,,"I honestly assumed it was a big statue,but it's very small.You have the option of taking photos underneath the statue,but you have to wait in line.",Sep-15,12-Sep-15,1,Friends
stonecold,4,"Toronto, Canada","its pretty much a little park where you can go an chill for a few hours, on a hot day when they turn the water on its perfect to stay cool, nice atmosphere right in the heart of the city u get a 360 view of the city in a sense great for photos under the love sign, but you gotta watch out for skateboarders tho they visit from time to time.",Nov-14,04-Sep-15,0,Friends
Janny,3,"Ladybrand, South Africa",It makes a nice photo. A few dodgy people about but it didn't feel dangerous. I wouldn't sit there or have a picnic. Just take photo and leave to a better park.,Aug-15,01-Sep-15,1,Couples
Robin M,4,"Charlotte, NC",Had to stop by Love Park and get a picture of it's iconic LOVE sign. Beautiful and clean in downtown Philadelphia. Grab an authentic cheese steak and enjoy people watching in the park!,Oct-14,25-Aug-15,0,
Aakanchie M,5,"Mississauga, Canada",We did the hop on and hop off bus tour and got off at this spot. Got off at this spot and absolutely loved it. It's worth stopping at and taking pictures. There are people usually there who offer to take pictures of you. Just remember to tip them.,Aug-15,24-Aug-15,0,
Christine T,3,"Columbus, OH","If you really need the picture of the Love Sculpture, then do it, but I'd recommend leaving as soon as possible!

There were skateboarders dangerously zipping around with no regard to anyone's safety (including there own).

There was a lady wearing an empty case of M&M's as a hat CREEPILY and intrusively photo-bombing everyone she could.

And as my sheltered 11 year old said: ""Wow, this must be THE place to nap in Philadelphia"", as an unintentional commentary on the several dozen homeless people.",Aug-15,24-Aug-15,0,
MiaM,2,"North Brunswick, New Jersey","The fountain and sculpture are beautiful, however there are ""locals"" hovering nearby and will infringe on your personal space. They will ask if you'd like them to take your photo then require payment for doing so (with your device) or if you do not require their ""services"" they lightly harass.",Aug-15,23-Aug-15,0,
r0bin417,4,"Griffin, Georgia",This is a great area for a photo and then continue on your way. The area is dirty and has many homeless people and many skateboarders around. There is a general unsafe feel to the location.,Jun-15,19-Oct-15,0,
Stephen D,3,"Philadelphia, PA",Dirty and full of skateboards. Always a long line to get a photo. There are many better sports for a photo like city hall or the art museum,Oct-15,15-Oct-15,0,Couples
MenthiaC,4,South Chesterfield,Stumbled on this place on our way to see the Cathedral. The fountain was spraying purple water and it was so relaxing to sit and watch the water.,Oct-15,10-Oct-15,0,
Eric B,5,"Clearwater, FL",This aprk turns into one of the best Christmas Markets in the area. Great food and stores to browse through. Also has some good entertainment and a huge Christmas tree in the middle.,Dec-14,08-Oct-15,0,
zestrax,2,,Really not sure what the deal is here except a strange pink fountain. Red bull were doing a gallery event thought is was something to do with that.,Oct-15,05-Oct-15,0,Solo
Michelle G,5,"Corning, NY","Made sure to make a visit to JFK Plaza and love park , to enjoy another of Philly's beatiful sites during the Susan G. Komen. Three day walk weekend.

While trying to take a picture if my wife and friends, in front of the LOVE statue. I was berated by several locals trying to get Me to hand over my 600 dollar phone, so they could take a picture with myself included in the picture. After polity trying to take my pictures and move along. I was harassed about not being willing go along with there plans.

I observed them doing this for others only to ask for a tip or hand out. I was also asked, not so polity to move out of the way for other people, when there was no one else standing around waiting, all by the same group how were pestering us from the beginning.

Unfortunately did not stay long to enjoy much of the oher sites in the park. Other than the beatiful spray on pink water from the parks center fountain.",Oct-15,05-Oct-15,0,Family
RM215079,5,"Pittsburgh, PA",Very iconic and does not disappoint! People will be there offering to take your picture for you for tips - just do it. They really aren't any more likely to steal your phone/camera than any other random person you might ask to take the pic and they need the money. The photo I got with my friends under the statue will be a great memory for me to cherish. For sure worth a stop.,Sep-15,01-Oct-15,1,Friends
Greg S,4,Wisconsin,The LOVE statue itself is actually kind of small. When we were here there was a cool little festival going on. A lot of small shops and street vendors.,Nov-14,29-Sep-15,0,
Katie M,4,"Windsor, Canada","Very excited to have the chance to visit this:)
My GF and I took a photo under the statue. We also took photos for many other couples in the area.
We went during the Winter time, it was a beautiful view.",Dec-14,23-Sep-15,1,
Derek C,4,"Baltimore, MD","As with a lot of major cities, this sign is a huge tourist attraction. My girlfriend and I make it a point to try and take a picture with it whenever we travel to add to the album. When we visited it was not too crowded.",Sep-15,21-Sep-15,1,
Bettina S,5,"Cape May, NJ","Festive lights, sweet smell of baked goods and the sweet smell of Glühwein invites you to walk thru the ""Love park"" with friends, family or your special someone. Authentic German decorations can be purchased in one big tent, but lines where long on Saturday so grab something for kids to do while waiting. Items like Belgian waffles, sweet roasted nuts, chocolate to knotted hats, scarfs, gloves to artwork and candles can be purchased here. It's a nice atmosphere and would recommend comfortable sneakers. Thank you Philadelphia for organizing this Market!",Nov-15,29-Nov-15,2,Family
Anan2012,4,"Melbourne, Australia",A visitor to Philadelphia cannot miss the Love Park and the famous icon. I visited it during noon time and had trouble photographing the famous 'LOVE' statue with harsh light and either morning or evening would have been better time for photography. The whole area is a photographers' paradise as there are many historic buildings and interesting statues to explore and click!,Nov-15,29-Nov-15,1,Solo
Milena S,4,"Vancouver, Canada","It's nice to see but there's not much to do aside from see the sculpture. Nice to see but not the end of the world if you miss this.
When I was there, there seemed to be a Christmas Market that was being set up. Maybe at a later date or later in the day that could have also made for a good visit but when I was there, most of the stalls were still setting up.",Nov-15,27-Nov-15,0,
J0hn01,4,"Hartford, CT","Wish we had better timing. There was some minor construction for what looked like holiday decorating. But, this is a must see if you are with your significant other especially if on a special occasion. I went with my wife on our anniversary. Plenty of people there to take your picture with your sweetheart under the famous LOVE sculpture",Nov-15,22-Nov-15,0,
Rob V,5,"Winschoten, The Netherlands",Wonderfull time spent in Love park. The american equivalent of the German Christmas Village was awesome. A beautiful place to have this kind of celebration. altough the Christmas tree wasn't lit you can have taken great pictures. Enjoy the Gluhwein and Remember love isn't perfect but it's a very Nice gift. Al that in the city of brotherly love. Thanks Philly,Nov-15,21-Nov-15,4,Couples
Pyramidion,4,"Boca Raton, FL","Across from City Hall it's basically the LOVE sculpture and a tourist information center, little else.",Sep-15,21-Nov-15,0,Family
MrSaturn64,4,"Philadelphia, PA","You go here, you take a picture of the LOVE statue, you look at City Hall, which looks good from everywhere, you look at the Art Museum, you leave. All there is to it. One warning: it's full of hoodlums after 4:00",Nov-15,01-Nov-15,0,Solo
Rakhee T,3,"London, UK","This is a lovely place for a pic of a recognised place in Philly - but nothing else really special. Surrounding area is a bit run down, wouldn't recommend spending too much time here.",Sep-15,29-Oct-15,0,Couples
mdgipsy,3,"Baltimore, MD",This is a very small and busy park. Stop by and get your picture in front of the LOVE statue and go on about your day...........,Oct-15,25-Oct-15,0,Friends
dolphinmama,3,"Antwerp, Belgium","A very small park in central Philadelphia. There is a nice fountain and a lovely ""statue"" where every couple wants to have his picture taken. Ageable at a sunny day. Good to relax for a moment but don't expect too much of it",Apr-15,22-Oct-15,0,
Jerry_Bagnell,5,"Carolina Beach, NC",We've always wanted to visit the park. Because we came in December the park is also the site of Christmas Village. There were vendors for merchandise as well as food and traditional spiced wine. The spirit was exhilarating. Don't miss this site!,Dec-15,11-Dec-15,0,Couples
Jayantpai,4,"Mumbai, India","Nothing very unique about it. However, it is a nice place to get a feel of the pulse of Philadelphia. Lots of tourist traffic + the customary photo op.",Sep-15,11-Dec-15,0,
Shannon S,5,"Philadelphia, Pennsylvania, United States","Every year from late November until Christmas love park becomes Christmas village. You can still take pictures at the iconic statue, but also shop for lots of hand made Christmas gifts as well. Santa is also available for visits.",Dec-15,10-Dec-15,0,Solo
Fahad A,4,"Vaughan, Canada","This place was literally transformed being crowded with multitudes of tents and sheds, offering a rich diversity of goods and souvenirs : Vanilla and Cinnamon Hot-chocolate, holiday sweets, paintings, accessories, scarfs, and Christmas trees. It's the kind of place one takes pleasure in walking around and mingling when not bound by any urgent assignments.",Dec-15,10-Dec-15,0,
Rach R,5,India,"I was visiting US during Christmas last year and got the opportunity to visit Love Park, although worth the wait, you have to go through a hard time to find a good parking spot, and since it was Christmas time, we hardly got 2 mins with the Love sign, as there was a long cue of people waiting to get a photograph! If you do go during this time, at the carnival that happens , do not miss out on their waffles!",Jan-15,07-Dec-15,0,Family
Beth_McD05,4,"Newark, DE","Every year after Thanksgiving, Love Park is transformed into Christmas Village. There are an assortment of little stalls that sell a wide variety of gifts and foods. This is a fun way to get into the holiday mood. Drink some of the hot wine from Chaddsford Winery, check out the large assortment of ornaments at Kathe Wohlfahrt, or peruse through the various specialty shops for that one-of-a-kind gift for a loved one. Only a few blocks from the Comcast Building where you can see the Holiday Spectacular or the skating ring and new shops at Dilworth Park. Within walking distance to Macy's Christmas Light show, Dickens Christmas Village, and the Wanamaker Organ. An easy way and low cost way to get into the Christmas mood!",Dec-15,06-Dec-15,0,Friends
Gureni L,4,"Sharjah, United Arab Emirates","was great visiting the Love park which is an important part of Philadelphia, the city of Love. When visiting, just be very careful not to give your camera or phone to the people around there who want to take you a picture. Just be very careful.",Aug-15,04-Dec-15,2,Family
kjdc1980,3,Alabama,"We arrived just in time to see the Christmas Market.
I will warn you, there are unsavory characters near the statue who will attempt to take your picture for you...for a price. We avoided this by teaming up with the family behind us, we took theirs and they took ours.
Teamwork People!! :) Show one another a little love :)",Nov-15,01-Dec-15,0,Couples
Ma_2719,3,"Phoenix, AZ","Robert Indiana's iconic LOVE sculpture overlooks this plaza, which also features a fountain. A good to see location, but overcrowded with cars parked along the walls in most places.",Jul-15,30-Nov-15,1,Friends
WhereSheGos,3,"New York City, NY","The sign is iconic and I expected so much more. However, the sign is small and the park itself is surrounded by skaters and homeless. Sometimes there's a guy dressed as Jesus walking around giving advice. My thought is…its sometime to go to just to say you saw it, took a photo, and left. Not really a place I'd make a special trip for.",Jun-15,29-Nov-15,0,
twofar2,3,"Queens, NY","While walking to the Reading Marketplace, I spotted LOVE PARK. I was excited!!! To my surprise, the homeless situation was an absolute ASTONISHMENT. Along the back walls, they all pelt & sat with large black garbage bags. I thought NYC have a bad homeless issue but never did I think other cities have it far worse!!! Love park was NOT what I expected but the lovely holiday vibe was there to enjoy. The vendors need to know that most people (of various nationalities) are not from the area. We hold funds to make the purchases simply because we are able. One vendor didn't bat an eye of acknowledgment to my question when I asked about the stained glass items. I could've been Obama's keen, it seemed to not had mattered. A word everyone selling goods: MY HARD EARNED MONEY HAS NO COLOR BARRIERS. IT SPENDS OR NOT SPENDS JUST LIKE THE NEXT WORKING CLASS PERSON'S!! If you don't want it, don't remain in business!!!",Dec-15,30-Dec-15,0,Family
Holly P,3,"Philadelphia, PA","Nothing hugely spectacular. You pay overpriced rates to park your car, walk up to this park which is also where the area's homeless population resides, see the Love sign, get bombarded by con artists who offer to take photos of you in front of the sign using your phone, walk back to your car and wonder why you wasted your time. If this is a must see for you, try to take Septa in to avoid the parking chaos. Otherwise, just buy a postcard and save yourself the trip.",Dec-15,29-Dec-15,1,Couples
Stanimal14,5,,We really enjoys the lights and festive atmosphere. It was a little crowded but it goes to show you the draw of the festivities. The nice thing was that they didn't charge admission like the Christmas market in Baltimore.,Dec-15,21-Dec-15,0,Couples
JcTjr,4,"Wildwood Crest, NJ","Love Park has undergone quite a beautiful transformation into a Christmas Village for the Holiday Season centered by a gargantuan beautifully lit tree, dozens of nice quality pop up shops, food vendors, christmas tree lots, and Santa visits all day of course. It is extremely festive and a GREAT time for all ages. It is a perfect event to have in center city to break up the mundane of everyday. It is pronounced by a large nativity scene as well to remind us all of the Reason for the Season. The park is well lit at all times and well patrolled so as to maintain a safety for all its guests. Either as a local or a tourist, definitely stop in and support it....it is well-deserved!",Dec-15,19-Dec-15,2,Family
Burdett P,3,"Sayre, PA",The hype may have set my expectations too high. Both the statue and the village seemed like average things to find in a city--not unique but worth a visit if in downtown Philadelphia.,Dec-15,18-Dec-15,0,Family
Mark J,4,Reston,Love Park Christmas Market is Worth the Effort to visit. There are numerous shops you would find at a typical Christmas market and food retailers.,Dec-15,16-Dec-15,0,
kayakgirl75,5,"Philadelphia, PA",This was a lot of fun. We really enjoyed walking around eating yummy food and enjoying the sites. The vendors have really unique stuff. Prices are good and you can haggle. Avoid the spiced wine. Smells great tastes like syrup. Mugs are cools I get one at the coffee spot. Cheaper than the wine.,Nov-15,16-Dec-15,0,Couples
Beccavousaime,3,"Clarksville, TN","The park isn't astounding, and I've never been a huge fan of the statue, but it is a nice attraction to see at least once.",Oct-15,15-Dec-15,1,Friends
Frederick G,2,"Flemington, NJ","Oh the masses of people just detract from this attempt to replicate a real European Christmas Market. At times you can't even walk! Lines for food, then where to you eat? I guess if you can't make the Vienna Market, this may do. And why not illuminate the LOVE sign at night so pictures can be special?",Dec-15,12-Dec-15,0,Couples
MarkC,5,"Philadelphia, PA",We really enjoy Love park in the summer as a central point of departure for visiting Philadelphia's many attractions. In warm weather it's the perfect place to start a stroll up the Parkway towards the many museums and for the holidays they set up an extensive Christmas Village with a variety of shops and eateries.,Nov-15,11-Dec-15,0,
Ashish B,1,"San Francisco, CA",It is a small statue of letters representing LOVE. You might stop by if you are in the vicinity but otherwise a total waste of time.,Jan-16,02-Feb-16,0,Solo
benaisyk,5,"Utica, NY","Nice for taking the classic photo in front of the love statue. There was a very nice local man offering to take pictures for people in exchange for a few bucks (said he was homeless, who knows but it was nice nonetheless!) Parking was difficult (ended up using the garage). Skateboarders were EVERYWHERE and that would be my biggest complaint.",Jan-16,31-Jan-16,0,Couples
jellies245,5,"Philadelphia, PA",This is a Philly must if you visit for the day or live here. Every christmas with the village and the tree makes for a great time.,Dec-15,26-Jan-16,0,Couples
Susan W,5,"Philadelphia, PA",Downtown at its finest. with the new renovations its a great park to visit and hang out. The sign is a great symbol of Philadelphia! Everyone wants their pic in LOVE park!,Sep-15,26-Jan-16,0,Friends
Angie F,4,"Chicago, IL","It's much smaller than its promotion but hey, if you're touring Philly why not check the box and see it! Lots of couples and individuals were taking photos, so my son and I did the same. It's a good example of placemaking for urban planners. You can make ANY location a tourist stop!",Jan-16,20-Jan-16,0,
nypdliz,4,"La Prairie, Canada","I now have a pretty nice picture collection of these love signs, so it was nice to add to it, but i wouldnt make a detour to go see it... it's just a sign and a fountain…",Aug-15,16-Jan-16,0,Family
Denny P,1,,"As a skateboarder on vacation in Philly, I knew I had to visit one of skateboardings most iconic skate spots and take a picture. Technically despite a majority of the cities residents supporting skating and offers of skate shoe companies to keep LOVE open to skaters, skateboarding is banned yet somehow it still happens (shouldve brought my board)

So I went to LOVE, expecting to see some locals skating and willing to talk about how iconic the spot is. I didnt see that. I did however, see many homeless, sketchy people eyeing me, asking for money to take a photo.

Stay out of this shady place if you can. The city needs to kick out these people just like it somehow kicked out all the skaters",Jan-16,11-Jan-16,0,Solo
Scott_A_Drake,3,"Philadelphia, PA","The LOVE sculpture, fountain and views of city hall and the Philadelphia Museum of Art are all nice, but the decades-old construction is wobbly and worn. There is little shade/shelter and too much limestone. The best thing going for it is the Christmas Village in Nov-Dec.

The best part of the park once was the influx of skateboarders from around the world who loved the park until the city said they were a nuisance. Once they were gone, it became a campground for the homeless. (Good work, city council)

It is getting ready for a complete makeover and should look fantabulous in about 18 months (summer 2017) so watch for the latest postings when you check this review spot out.",Dec-15,07-Jan-16,0,Friends
Sara T,4,,It's a nice simple park there are some cool sculptures and jumbo monopoly pieces. There's a line to take a picture at the love sign. It's a very relaxing park. A great place to have lunch and chill.,Jan-16,01-Jan-16,1,Friends
farrflan,4,"Philadelphia, PA","I love JFK Plaza (Love Park) and the Christmas Village is so cool! Lots of great one of a kind pieces, highly enjoyed it!",Dec-15,31-Dec-15,0,
LeapingL123,4,"Knoxville, TN","This is one of the photo-ops that you need to hit -- just for old time's sake. The park is nice and kept clean. I was there last Saturday and it was REALLY cold, but there were still quite a few people out. I got a cup of coffee from across the street and watched a few young boys skateboard.",Feb-16,17-Feb-16,0,Business
angelinmpls,3,"Minneapolis, MN","We figured sine we were in Philadelphia we had to stop at LOVE PARK on lovers day. We went just to snap a pic under the Love sculpture. Parking was easy, found a spot right across the street for free. Since it was winter and about 19 degrees we made it a quick trip. When we got to the fountain, which was empty due to it being winter we witnessed about 100 skateboarders taking over the park. They were everywhere, even lit a bonfire to keep warm. The LOVE sculpture has stickers and graffiti on it. The park was dirty with litter. I Would like to visit in the summer when the fountain is going. Hopefully next time it wont be crowded with skateboarders.",Feb-16,17-Feb-16,0,Family
cindycardona,1,"New York City, NY",So ugly and it looked dirty. The love sign had stickers and writing on it. Please don't waste your time! There was absolutely nothing nice about it.,Feb-16,15-Feb-16,0,
oceanguy2821,4,"Baltimore, MD",The Love Park is truly a unique place that is worth visiting at least once. There one can meet people from all over Philly. One can see wealthy parents with children talking with people experiencing homelessness. Its a really a great place to meet people from all walks of life. People are generally friendly and there to have a good time. It is a city park in an urban environment so one should always be aware of those around you.,Jan-16,12-Feb-16,0,Solo
Valerie B,3,,"I thought the Love sign would be BIGGER - it is very small and easy to miss. We went in the winter so the fountain was not on - I am sure the park is much more appealing when it is. There were dozens of skateboarders taking over the entire park and making it kind of hard to take pictures. I don't mind them but I could understand how some people would prefer that they weren't so abundant there. There are a lot of homeless in this park also. But, we did meet a very sweet homeless man named George (I think) that says he sleeps in the park and has appointed himself to be in charge of keeping it clean. He took our pictures for us in front of the Love and had surprisingly fantastic picture taking skills!",Feb-16,11-Feb-16,0,Couples
Jimmy L,4,"Philadelphia, PA","Nice idea for all, the LOVE, the fountain but the area hasn't been the best place to mingle because of some selected locals who live ""here""won't leave you along or wi;; ask for somet . Take some pictures, walk around, and go somewhere else.",Oct-15,09-Feb-16,0,Family
Jason C,5,"Chicago, IL",I think that this was a very moving public art piece for all to take in and appreciate. There was a line quite long with lovers who were posing for pictures in front of this art installation.,Oct-15,08-Feb-16,2,
bsudipa,5,"Sunnyvale, CA",Love is part of our life..but sometimes you should show off that love...Go to Love Park you will definitely love it..best time to go at thanksgiving and Christmas ...😊,Apr-15,07-Feb-16,0,Couples
Alex,5,New York,LOVE makes this a must see and take pictures attraction. Expect to wait for for tourists and locals as they all take pictures!,Feb-16,07-Feb-16,0,Couples
BethMorrison6,4,"Dalton, GA","Love park is a park. It's nice, crowded, right in the city. But the LOVE statue is what makes it a must see. Philly does a great job carrying the theme throughout.",Oct-15,05-Feb-16,0,
Tloc1986,3,"New York City, NY","I wouldn't come here just for the sign. But it's adjacent to city hall, the Masonic temple, and close to the observatory. Iconic and free.",Mar-16,28-Mar-16,0,Solo
callmemochelle,4,"Anaheim, CA","When you think of Philadelphia, a few images comes to mind:
- Liberty Bell
- Independence Hall
- The Rocky Balboa steps (for some)
- Cheesesteaks
- And the LOVE sculpture.

My group had limited time to see the touristy stuff, and I made it a point to make this a stop. One person said the Rocky steps had AMOR, but that's not LOVE (in English).

We came here on a chilly February, and the park was under construction. Our driver dropped us off at the curb of this busy busy area and circled the park. In front of the LOVE sculpture was a trowel and shovels, and the cops told us the mayor was breaking ground to re-do the park. It was going to be a media fest at 11 am, but we didn't have time to hang around for an hour.

We got a photo of the iconic statue. I would give it 5 stars if parking weren't so difficult.",Feb-16,25-Mar-16,0,
RYYS,3,"New York City, NY","Arguably one of the most Philly spots in the city. It's a definite walk through situation on the way to the art museum with no need to stop for longer than 30 seconds unless it's during the holidays during which time the Christmas village has shops set up where you can buy tasty food and other items. Usually a 3, during the holidays it's a 4.5.",Nov-15,24-Mar-16,0,Business
Nicholas H,5,,"This is the place where and my soon to be wife shared one of our first dates. As you can no doubt tell that was amazing of course. Right in center city, right by the city hall...Lovely area.",May-15,14-Mar-16,0,
TravellinCritik,5,,"The LOVE Park (aka the iconic JFK Plaza) is located in Center City.

Pack your camera for the photo opp and get your picture taken in front of the LOVE sculpture. Then have lunch by the fountain and stop in to see the Fairmount Park Welcome Center and Gift Shop.

PLEASE NOTE!

Apparently, Love Park is undergoing renovation and is closed to the public until Spring 2017. During the construction process, the LOVE sculpture has been moved to nearby Dilworth Park temporarily.",Jun-15,13-Mar-16,3,Couples
Gene H,4,"Seymour, TN","When you are anywhere near center city Philly, you have to stop and get your picture taken at the LO VE architecture. It is a classic in it's own rite and has been as long as I can remember.",Mar-16,11-Mar-16,0,Couples
Jhon,5,"Bradenton, FL",The sign was moved due to the parking being remodeled. The history of the famous sign was truly interesting.,Mar-16,02-Mar-16,0,Solo
17sheridans,3,"Chicago, IL","Love Park is basically only worth visiting if you want a picture in front of the LOVE sculpture. There are nicer fountains down Benjamin Franklin Pkwy, which you can walk down to get to the Academy of Natural Sciences, the Free Library of Philadelphia, the Franklin Institute, the Barnes, and the PMA. This park is right near City Hall so you can get a lot of sights in at once.",Dec-15,28-Feb-16,0,Friends
rch802015,2,"Annapolis, MD","Pretty much the only attraction here is taking a selfie with the giant LOVE sculpture, and JFK boulevard in the background.",Sep-15,18-Feb-16,0,Couples
PANCIC,5,"Podgorica, Montenegro","Great place for relaxing with friend and made photos with your LOVE
Love Park is so lovely place, enjoy in it",Oct-15,18-Feb-16,0,Business
MPJ552,5,"Gainesville, FL",We took some really cool photos in front of the LOVE sign. It really does make for a super cool photo opt.,Mar-16,20-Apr-16,0,Friends
rocknryry,3,"Stafford, VA","Well, it was not in its usual place, moved for construction, but a must do. Got the picture and moved on.",Mar-16,20-Apr-16,0,Family
roamas,5,"Sydney, Australia",The sign is a great place to affirm your love with loved ones! I think the park itself is under reconstruction.,Apr-16,17-Apr-16,0,Family
Natalie D,4,"Minneapolis, MN",Great place for a quick photo op. This is a a must when visiting Philly. It's right in the middle of the city and an easy quick visit on the way to other attractions.,Apr-16,15-Apr-16,0,Friends
Santanasxy,5,Puerto Rico,"Nice place to visit winter or summer, nice for family, places to eat, shopping area . On the summer the have the fountain on.",Apr-16,14-Apr-16,2,
Noodlebee,5,"New Orleans, LA",I ran around taking pictures even though it was raining. I loved all the large statues. It was really exciting for me as a photographer.,Apr-16,12-Apr-16,0,Couples
AlongftTrip,3,,"Hop in the line to get a quick picture, and then move along. Not much to see of do. Be wary of the locals who'll want to take your picture for money or tips. Fun for the kids.",Jul-15,11-Apr-16,0,Family
Mohannad L,4,"Dhahran, Saudi Arabia","I LOVE Philadelphia, there is so much to do and enjoy. You can spend two active weeks sight seeing and keep saying ""WAW""

This park is a twenty minutes visit, no more. It is nice to see.",May-15,07-Apr-16,0,Family
9AlexaMPC,3,New Hampshire,"It was a must photo stop for us, especially because it was so close to our hotel. We got there too early though so the fountain wasn't on yet. But besides a quick photo, there isn't much else left for there to do.",Jul-15,03-Apr-16,0,Family
Sapphire5860,3,"Canberra, Australia","My husband and I were walking through Philly on a cool autumn day and passed this park. Just had to stop in to get a photo. It was fairly quiet, only had to wait for one other person to take a photo. The fountain was off because it was November I guess, but it was still a nice shot.",Nov-15,01-Apr-16,0,Couples
