user_name,rating,user_base,review,date_of_experience,date_written,photos,party
Christine Varrieur,3,"Mansfield, MA","Had to do the obligatory photo in this park, but it's much smaller and less exciting than one might imagine. Photo op is great, but don't plan to spend too much time here. I went before Thanksgiving when they were setting up the holiday decorations--looks like it has potential to be more festive and entertaining once that's all set up with lights, etc. but I wasn't awed.",Nov-12,14-Dec-12,0,Family
geisslerm,5,"Sacramento, CA","During the holiday season Love Park features a delightful Christmas Village with vendors of crafts and foods from all over the world with a European focus. The mulled wine was very popular, and the German crafts exquisite. Occasional live music performances make this a fun draw for young and old on a December evening. I wish it had stayed open beyond 8 p.m., though.",Dec-12,11-Dec-12,0,Family
mcgon4,4,"Mullica Hill, NJ",Very nice place to walk thru some awesome craft vendors. Must see in Philly this time of year. Good food & treats for the family too.,,02-Dec-12,0,
Tamyra T,4,"Plano, TX",I have not been to Love Park in years and just walking through...after I had to go into the city for training for work...it was awesome. It truly lives up to its name of Love Park...just wish I had my husband there LOL…,Nov-12,28-Nov-12,0,Solo
Whitehall123,5,"Whitehall, PA",We stopped here in November. There were more than 60 vendors selling items. It was nice to walk around the various boths and shop for Christmas Gifts. I got some really good deals!,Nov-12,26-Nov-12,0,Family
Tom M,3,Edinburgh,"The fountain area was a great stopping place on a sunny day.

The area is edged with some lovely trees, they seemed to be dropping blossoms which looked good.

Plenty of people having their photo taken with the Love sign.

Crossing this area later at night doesn't feel as comfortable with people loitering and skateboarders flying around with little care for anyone passing",Apr-13,09-May-13,0,Couples
L V,4,"Bristol, UK","Walked through this park, while the sun shined brightly and a band played live as we walked through. Cute water fountain with pink water, plenty of places to sit, seemed to appeal to old and young alike. People reading, listening to the music, strolling, etc. a nice place to spend an hour or two, or to stop for lunch.",Jun-12,07-May-13,0,Friends
John V,3,"Mount Laurel, NJ","Be realistic, avaerage is a great rating for a sign near a fountain in the middle of Philadelphia. Surrounded by obsolete shops and vendors selling obsolete junk. Should I mention the fact that the homeless and city kids acting like gangsters, and unsupervised make this anyhting but attractive for those with kids.",Apr-13,02-May-13,0,
ladysinger719,4,"Philadelphia, PA","In the heart of Philadelphia, this park is transformed to a Christmas Village for shopping in the holiday season. Festive crowds, local entertainers and warm cider made the Tree Lighting event very memorable.",Dec-12,30-Apr-13,0,
mapasy,3,"Boston, MA","I finally made my first visit to Philly a few weeks ago and specifically had on my 2Do list a visit to this park to see live in person the iconic ""Love"" statue. So do you remember this scene from the move ""Spinal Tap"" - Nigel Tufnel is in the middle of a performance, waiting for the life-size Stonehenge prop he designed to come down from the rafters to the oohs and ahs of the audience? The only problem being that when he had sketched out the dimensions he accidentally used the notation for inches instead of feet? So my reaction was the same as Nigel's - stunned at how small this actually was. No idea how it got into my head that this would be much larger. Still cool to see, but otherwise not much to do at the park itself, at least the day I visited. Rock N Roll!",Apr-13,27-Apr-13,0,Solo
MBMEsq,4,"New York City, NY","Went at Christmas time & they had a Christmas Village there which was very cool. Lots of booths, vendors, food & best of all.......mulled wine! Definitely a fun & worthwhile trip during the Christmas season.",Dec-12,15-Apr-13,0,Friends
9S3_2P4,3,"Stadthagen, Germany","My description in the title is the one that fits the best. Nothing that special maybe if the fountain behind it would be on it would be much more interesting but without it, it just says just:
LO
VE.
Funny to take some pictures for your loved once, you just need to some creativity.",Apr-13,11-Apr-13,0,
Bajoba,3,"Swarthmore, PA","Take your pic next to the statue, get overspray from the fountain (when it warms up), head to the Art Museum or Chestnut Street or South Street.
It's often a little stinky due to the indigents around the edges. Addition of food trucks by the Visitor's center is a plus (16th & JFK corner).",Apr-13,04-Apr-13,0,
Maja M,5,"Zagreb, Croatia",The park itself isn't that special but I really loved the Love sculpture! It is my favorite memory from Philly :),Nov-12,29-Mar-13,0,Couples
Tracy M,4,"Philadelphia, PA","So pretty and refreshing to go to for lunch in the summer. It is right down the street from the Art Museum and the LOVE sign is great to take pictures at. Every so often they will dye the fountain purple, pink, red, or blue which is so cool to see.",Sep-12,14-Mar-13,0,
SilverFin88,4,"Orlando, FL","Love park is somewhere that you have to stop at in Philadelphia. HOWEVER- DO NOT go there after dark, it's very seedy.",Jun-13,23-Jun-13,0,Friends
TexansAlso,3,Texas,It's located just northwest of Philadelphia City Hall. We spent a moment hear relaxing by the fountain.,May-13,12-Jun-13,1,Family
